Time Posted,"Image URL","Views","Reach","Replies","Back","Forward","Exited","Completion Rate","Avg. Views/User"
"Oct 22, 2025 11:50:17 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749196064923748652_17841400918126378-34cb044729465a.jpg","615","512","1","56","455","38","94%","1"
"Oct 22, 2025 11:48:06 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749194952804055497_17841400918126378-2deb917d0eeb96.jpg","709","600","0","15","396","36","95%","1"
"Oct 21, 2025 06:32:13 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3748673586362708475_17841400918126378-653fb3b5430ed6.jpg","491","413","1","18","264","39","92%","1"
"Oct 21, 2025 01:51:41 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3748532385362354094_17841400918126378-aa86b7218f786d.jpg","622","498","0","26","274","28","95%","1"
"Oct 21, 2025 01:46:56 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3748530075852762571_17841400918126378-2ab5447d9fd7d9.jpg","378","315","1","12","316","18","95%","1"
"Oct 21, 2025 01:46:45 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3748529902443464748_17841400918126378-ac4c7c2dc363e3.jpg","430","377","0","3","278","40","91%","1"
"Oct 20, 2025 03:16:15 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3747850154637295298_17841400918126378-fac8bcbe618fe9.jpg","312","287","0","7","222","45","86%","1"
"Oct 20, 2025 12:37:35 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3747770294594628380_17841400918126378-5f0c6ff576db9c.jpg","279","254","0","7","201","30","89%","1"
"Oct 20, 2025 12:35:59 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3747769508825293584_17841400918126378-417466ccaf5f99.jpg","343","306","0","2","207","31","91%","1"
"Oct 17, 2025 08:36:55 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3745837224278551682_17841400918126378-10df4c7449b800.jpg","454","392","0","7","292","60","87%","1"
"Oct 17, 2025 12:01:48 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3745577981470495357_17841400918126378-cf01b0dcf14ac5.jpg","408","360","0","24","323","28","93%","1"
"Oct 17, 2025 12:01:00 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3745577557367615084_17841400918126378-515741d3820b04.jpg","462","386","1","33","359","14","97%","1"
"Oct 17, 2025 10:08:00 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3745520680969410419_17841400918126378-36e8938da63879.jpg","505","413","1","30","358","25","95%","1"
"Oct 17, 2025 10:07:32 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3745520455139665552_17841400918126378-c10e5f69ff8d4e.jpg","565","475","0","6","346","33","94%","1"
"Oct 16, 2025 11:32:30 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3744838448558815985_17841400918126378-cc38ac595fcd63.jpg","437","389","0","9","300","32","93%","1"
"Oct 16, 2025 11:31:25 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3744837890238199700_17841400918126378-69280f701b596b.jpg","531","475","2","12","363","35","93%","1"
"Oct 15, 2025 03:22:29 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3744229409864990281_17841400918126378-728a37d8610f30.jpg","411","353","1","20","281","38","91%","1"
"Oct 15, 2025 11:27:10 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3744110998807814749_17841400918126378-e2c9102eb5b7aa.jpg","263","228","0","7","199","28","89%","1"
"Oct 15, 2025 08:58:35 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3744036192162800076_17841400918126378-65cd8635e2471b.jpg","261","228","0","5","201","20","92%","1"
"Oct 15, 2025 08:58:18 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3744036051552925199_17841400918126378-59e7cfea3f9517.jpg","305","262","1","5","196","27","91%","1"
"Oct 14, 2025 10:59:37 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3743372345827372923_17841400918126378-0f5cd86718d05c.jpg","696","579","0","24","357","48","93%","1"
